EID Prefix,Reply Type,Received From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Changed,Configuration Changed ,Statistical Changed,Recieved From Changed,Received From not RLOCs ,Received From RLOCs ,Received From Map Resolver ,Number of Timestamp,Total Number of Timestamp
132.227.121.0:24,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,232,232,299
132.227.122.0:23,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,233,233,299
132.227.124.0:22,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,234,234,299
132.227.128.0:17,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,229,229,299
132.227.64.0:19,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,210,210,299
132.227.96.0:20,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,203,203,299
132.228.0.0:14,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,238,238,299
132.232.0.0:13,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,238,238,299
132.240.0.0:12,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,227,227,299
133.0.0.0:8,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,216,216,299
134.0.0.0:7,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,222,222,299
136.0.0.0:5,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,220,220,299
144.0.0.0:7,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,217,217,299
146.0.0.0:8,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,224,224,299
147.0.0.0:10,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,231,231,299
147.128.0.0:9,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,193,193,299
147.64.0.0:12,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,233,233,299
147.80.0.0:15,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,229,229,299
147.82.0.0:16,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,227,227,299
147.83.0.0:17,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,227,227,299
147.83.128.0:23,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
147.83.130.0:24,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,206,206,299
147.83.131.0:25,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,205,205,299
147.83.131.128:26,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,202,202,299
147.83.131.192:27,Negative Reply,202.214.86.252,[],[],[],[],2,0,0,2,0,1,199,200,299
147.83.131.224:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,195,195,299
147.83.131.225:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,191,191,299
147.83.131.226:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,197,197,299
147.83.131.227:32,Negative Reply,202.214.86.252,[],[],[],[],1,0,0,1,102,0,91,193,299
147.83.131.228:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
147.83.131.229:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,222,222,299
147.83.131.230:31,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,228,228,299
147.83.131.232:29,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,224,224,299
147.83.131.240:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,225,225,299
147.83.132.0:22,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,228,228,299
147.83.136.0:21,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,225,225,299
147.83.144.0:20,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,224,224,299
147.83.160.0:19,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,223,223,299
147.83.192.0:18,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,225,225,299
147.84.0.0:14,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,231,231,299
147.88.0.0:13,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,217,217,299
147.96.0.0:11,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,198,198,299
148.0.0.0:6,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,194,194,299
152.0.0.0:8,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,193,193,299
153.0.0.0:12,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,189,189,299
153.128.0.0:9,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,228,228,299
153.16.12.128:26,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,183,183,299
153.16.12.192:27,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,189,189,299
153.16.12.224:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,186,186,299
153.16.13.0:28,LISP Reply,173.228.9.248,['173.228.9.248'],['1'],['100'],['Up'],0,0,0,0,0,200,0,200,299
153.16.13.112:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,191,191,299
153.16.13.16:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,192,192,299
153.16.13.176:28,LISP Reply,76.102.34.4,['76.102.34.4'],['1'],['50'],['Up'],0,0,0,0,0,195,0,195,299
153.16.13.208:28,LISP Reply,50.174.210.10,['50.174.210.10'],['1'],['100'],['Up'],0,0,0,0,0,176,0,176,299
153.16.13.240:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,183,183,299
153.16.13.32:28,LISP Reply,108.245.189.84,['108.245.189.84'],['1'],['100'],['Up'],0,0,0,0,0,65,0,65,299
153.16.13.48:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,188,188,299
153.16.13.80:28,LISP Reply,107.3.187.25,['107.3.187.25'],['10'],['50'],['Up'],0,0,0,0,0,190,0,190,299
153.16.14.128:25,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,187,187,299
153.16.14.64:26,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,180,180,299
153.16.160.0:19,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,225,225,299
153.16.17.16:28,LISP Reply,24.94.13.140,['24.94.13.140'],['1'],['1'],['Up'],0,0,0,0,0,186,0,186,299
153.16.17.32:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,190,190,299
153.16.18.112:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,174,174,299
153.16.18.176:28,LISP Reply,122.177.1.211,['122.177.1.211'],['1'],['100'],['Up'],0,0,0,2,0,16,0,16,299
153.16.18.224:27,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,181,181,299
153.16.18.48:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,190,190,299
153.16.18.96:28,LISP Reply,68.177.12.182,['170.40.251.1'],['1'],['100'],['Up'],0,0,0,0,188,0,0,188,299
153.16.192.0:18,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,231,231,299
153.16.21.0:26,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,174,174,299
153.16.21.129:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,17,17,299
153.16.21.130:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.131:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.132:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.134:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.135:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
153.16.21.136:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.21.137:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.138:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.139:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,17,17,299
153.16.21.140:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.141:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.142:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.21.192:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.21.193:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,215,215,299
153.16.21.194:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
153.16.21.195:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.21.196:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,216,216,299
153.16.21.197:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,208,208,299
153.16.21.198:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,208,208,299
153.16.21.199:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,214,214,299
153.16.21.200:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.21.201:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,211,211,299
153.16.21.202:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,211,211,299
153.16.21.203:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,205,205,299
153.16.21.204:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,215,215,299
153.16.21.205:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,217,217,299
153.16.21.206:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,210,210,299
153.16.21.207:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.21.208:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,214,214,299
153.16.21.209:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
153.16.21.210:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
153.16.21.211:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,215,215,299
153.16.21.212:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,209,209,299
153.16.21.213:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,208,208,299
153.16.21.214:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,210,210,299
153.16.21.215:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
153.16.21.216:29,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,207,207,299
153.16.21.224:27,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,182,182,299
153.16.21.65:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,178,178,299
153.16.21.66:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,183,183,299
153.16.21.67:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,176,176,299
153.16.21.68:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,176,176,299
153.16.21.69:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,174,174,299
153.16.21.70:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,179,179,299
153.16.21.71:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,182,182,299
153.16.21.72:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,180,180,299
153.16.21.73:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,168,168,299
153.16.21.74:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,145,145,299
153.16.22.0:26,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,170,170,299
153.16.22.129:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
153.16.22.130:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.22.131:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.22.132:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,17,17,299
153.16.22.133:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.22.136:29,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
153.16.22.144:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,20,20,299
153.16.22.145:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.22.146:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.22.147:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
153.16.22.148:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.22.149:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,19,19,299
153.16.22.192:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,217,217,299
153.16.22.193:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,210,210,299
153.16.22.194:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,206,206,299
153.16.22.195:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,208,208,299
153.16.22.196:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,208,208,299
153.16.22.197:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,211,211,299
153.16.22.198:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
153.16.22.199:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.22.200:29,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,214,214,299
153.16.22.208:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,213,213,299
153.16.22.209:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.22.210:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.22.211:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,211,211,299
153.16.22.212:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,207,207,299
153.16.22.213:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,210,210,299
153.16.22.214:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,209,209,299
153.16.22.215:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,211,211,299
153.16.22.216:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,206,206,299
153.16.22.217:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,207,207,299
153.16.22.218:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,195,195,299
153.16.22.219:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,176,176,299
153.16.22.220:30,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,180,180,299
153.16.22.224:27,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,180,180,299
153.16.22.65:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,159,159,299
153.16.22.66:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,156,156,299
153.16.22.67:32,LISP Reply,24.51.209.235,['24.51.209.235'],['1'],['100'],['Up'],0,0,0,0,0,154,0,154,299
153.16.22.68:32,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,156,156,299
153.16.23.144:28,LISP Reply,199.21.117.195,['199.21.116.245'],['1'],['100'],['Up'],0,0,0,0,171,0,0,171,299
153.16.25.0:28,LISP Reply,96.231.59.40,['96.231.59.40'],['1'],['50'],['Up'],0,0,0,0,0,185,0,185,299
153.16.25.128:28,LISP Reply,100.7.26.34,['100.7.26.34'],['1'],['1'],['Up'],0,0,0,0,0,176,0,176,299
153.16.25.16:28,LISP Reply,66.219.129.241,"['65.42.52.93', '66.219.129.241']","['100', '10']","['100', '100']","['Up', 'Up']",0,0,0,0,0,48,0,48,299
153.16.25.176:28,LISP Reply,73.148.11.3,['73.148.11.3'],['1'],['1'],['Up'],0,0,0,0,0,172,0,172,299
153.16.25.192:28,LISP Reply,100.7.38.230,['100.7.38.230'],['1'],['100'],['Up'],0,0,0,0,0,57,0,57,299
153.16.25.224:28,LISP Reply,24.56.71.204,"['24.56.71.204', '2001:470:b8ab:1:dead:beef:0:4']","['1', '2']","['50', '50']","['Up', 'Up']",0,0,0,0,0,152,0,152,299
153.16.26.112:28,LISP Reply,75.145.92.179,['75.145.92.179'],['1'],['1'],['Up'],0,0,0,0,0,168,0,168,299
153.16.29.0:28,LISP Reply,70.80.236.44,['70.80.236.44'],['1'],['1'],['Up'],0,15,0,1,0,211,0,211,299
153.16.29.128:25,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,201,201,299
153.16.29.16:28,LISP Reply,73.12.9.178,['73.12.9.178'],['1'],['1'],['Up'],0,0,0,0,0,67,0,67,299
153.16.29.32:28,LISP Reply,208.102.188.222,['208.102.188.222'],['1'],['1'],['Up'],0,3,0,1,0,61,0,61,299
153.16.30.160:30,LISP Reply,24.51.209.235,['24.51.209.235'],['1'],['100'],['Up'],0,0,0,0,0,208,0,208,299
153.16.30.168:30,LISP Reply,24.4.100.89,['24.4.100.89'],['1'],['100'],['Up'],0,0,0,0,0,203,0,203,299
153.16.30.96:28,LISP Reply,173.8.103.241,['173.8.103.241'],['1'],['100'],['Up'],0,0,0,0,0,208,0,208,299
153.16.31.0:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,200,200,299
153.16.31.96:28,LISP Reply,68.44.224.35,['68.44.224.35'],['1'],['100'],['Up'],0,0,0,0,0,206,0,206,299
153.16.32.0:28,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,6,0,0,0,200,299
153.16.32.176:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,142,142,299
153.16.32.224:28,LISP Reply,192.162.230.14,"['192.162.230.13', '192.162.230.14']","['10', '10']","['50', '50']","['Up', 'Up']",0,0,0,68,0,146,0,146,299
153.16.32.96:28,LISP Reply,147.102.40.203,"['147.102.40.203', '147.102.224.6']","['10', '1']","['100', '100']","['Up', 'Up']",0,0,0,0,0,155,0,155,299
153.16.36.0:24,LISP Reply,192.162.230.13,"['192.162.230.13', '192.162.230.14']","['10', '10']","['50', '50']","['Up', 'Up']",0,0,0,73,0,136,0,136,299
153.16.38.0:25,LISP Reply,132.227.62.242,"['132.227.62.242', '132.227.62.243', '2001:660:3302:282c:240::243', '2001:660:3302:282c:240::242']","['3', '1', '2', '4']","['100', '100', '100', '100']","['Up', 'Up', 'Up', 'Up']",0,0,11,74,0,144,0,144,299
153.16.38.128:25,LISP Reply,132.227.62.242,"['132.227.62.242', '132.227.62.243', '2001:660:3302:282c:240::243', '2001:660:3302:282c:240::242']","['1', '3', '4', '2']","['100', '100', '100', '100']","['Up', 'Up', 'Up', 'Up']",0,0,11,78,0,136,0,136,299
153.16.4.0:24,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,181,181,299
153.16.43.192:27,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,178,178,299
153.16.43.224:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,170,170,299
153.16.44.176:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,173,173,299
153.16.44.240:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,159,159,299
153.16.44.48:28,LISP Reply,91.220.108.97,['91.220.108.97'],['1'],['100'],['Up'],0,0,0,0,0,125,0,125,299
153.16.44.96:28,LISP Reply,80.218.233.133,['80.218.233.133'],['1'],['100'],['Up'],0,0,0,0,0,163,0,163,299
153.16.47.144:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,147,147,299
153.16.47.160:27,LISP Reply,212.33.19.38,['212.33.19.38'],['1'],['100'],['Up'],0,0,0,0,0,129,0,129,299
153.16.48.96:28,LISP Reply,84.23.253.84,"['84.23.253.84', '2001:1560:9:42::4']","['10', '20']","['50', '50']","['Up', 'Up']",0,0,0,0,0,114,0,114,299
153.16.5.0:24,LISP Reply,128.107.81.170,"['128.107.81.169', '128.107.81.170']","['1', '1']","['50', '50']","['Up', 'Up']",0,0,0,4,0,184,0,184,299
153.16.50.0:28,LISP Reply,89.123.122.244,"['89.123.122.244', '2a02:2f0e:17b:a100::1']","['1', '1']","['1', '1']","['Up', 'Up']",0,15,3,8,0,203,0,203,299
153.16.50.240:28,LISP Reply,92.50.113.214,['92.50.113.214'],['1'],['100'],['Up'],0,0,0,0,0,196,0,196,299
153.16.50.48:28,LISP Reply,195.8.198.77,"['195.8.198.77', '195.8.198.78', '2001:1620:2027:1c6::2:77', '2a01:2a8:a000:1c6::2:78']","['1', '1', '1', '1']","['50', '50', '50', '50']","['Up', 'Up', 'Up', 'Up']",0,0,0,82,0,160,0,160,299
153.16.53.160:28,LISP Reply,89.102.24.199,['89.102.24.199'],['1'],['1'],['Up'],0,0,0,0,0,197,0,197,299
153.16.53.208:28,LISP Reply,88.115.45.4,['88.115.45.4'],['1'],['100'],['Up'],0,0,0,0,0,40,0,40,299
153.16.54.160:28,LISP Reply,2.237.26.161,['2.237.26.161'],['1'],['1'],['Up'],0,0,0,0,0,17,0,17,299
153.16.54.96:28,Negative Reply,193.162.145.50,[''],[''],[''],[''],0,0,0,0,0,0,0,145,299
153.16.55.128:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,184,184,299
153.16.55.160:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,197,197,299
153.16.55.96:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,201,201,299
153.16.56.0:28,LISP Reply,178.32.15.16,"['178.32.15.16', '2001:41d0:2:9fd5::101:1']","['100', '100']","['10', '10']","['Up', 'Up']",0,0,0,0,0,188,0,188,299
153.16.56.128:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,195,195,299
153.16.56.160:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,193,193,299
153.16.56.96:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,199,199,299
153.16.57.128:28,LISP Reply,217.8.98.42,"['10.1.1.127', '158.38.1.92']","['1', '1']","['100', '100']","['Up', 'Up']",0,0,0,0,1,0,0,1,299
153.16.57.144:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,30,30,299
153.16.57.160:27,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
153.16.57.16:28,LISP Reply,44.16.51.189,"['44.16.5.24', '44.16.51.248', '2605:e000:2f8c:d140:c67d:4fff:fe67:86c2', '2a06:e881:140f::88']","['2', '1', '2', '1']","['100', '100', '100', '100']","['Up', 'Up', 'Up', 'Up']",0,11,1,2,168,0,0,168,299
153.16.57.192:26,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,201,201,299
